model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
r0,LORO,0,3,3.260530991332377,2.4512815650845607,0.7207237422548369
r0,LORO,0,4,4.674111061861087,3.5315094030735414,0.42608203359741503
r0,LORO,0,5,4.677807935102087,3.55603637377022,0.42511101970859255
r0,LORO,0,overall,3.5006472551689636,2.4633023477324913,0.6781201091262294
r0,LORO,1,1,1.63920357184293,1.2330819010491867,0.9294504958315026
r0,LORO,1,2,2.066779310462859,1.5668816353185724,0.887814296038244
r0,LORO,1,3,3.2701964277190476,2.473138865079124,0.7190655290256088
r0,LORO,1,4,4.692638984205102,3.5344787472701453,0.42152305641633914
r0,LORO,1,5,4.677034573632852,3.543512361638724,0.42530109174274944
r0,LORO,1,overall,3.5085114445589287,2.47021870207115,0.6766722810288598
r0,LORO,2,1,1.6293846734947361,1.2239065263546614,0.930293153467933
r0,LORO,2,2,2.1297030996046593,1.6004627522962278,0.8808792462895179
r0,LORO,2,3,3.2778293095584927,2.459419470487991,0.7177525545953822
r0,LORO,2,4,4.678906160857617,3.5437086366175876,0.4249038822688165
r0,LORO,2,5,4.685194730730413,3.5529850975525847,0.42329395479707377
r0,LORO,2,overall,3.515050702799644,2.476096496661811,0.6754659039936378
r0,LORO,3,1,1.6111518737410346,1.2102092482599676,0.931844463026552
r0,LORO,3,2,2.101864900861902,1.5912897142484932,0.8839730429193773
r0,LORO,3,3,3.2839219687678916,2.480625978291542,0.7167023256044616
r0,LORO,3,4,4.679973599783254,3.525414878270464,0.42464144913346813
r0,LORO,3,5,4.691831058034149,3.5560150755641526,0.42165905131359926
r0,LORO,3,overall,3.5132099706818813,2.4727109789269233,0.6758057135547367
r0,LORO,4,1,1.6152578440146972,1.217131711718361,0.9314966358589315
r0,LORO,4,2,2.1049055562468584,1.5863745835066596,0.8836371001300165
r0,LORO,4,3,3.2595444756393803,2.451791322772217,0.720892713954272
r0,LORO,4,4,4.687915804486208,3.5144109101793313,0.4226869539846986
r0,LORO,4,5,4.68649482299458,3.5465272673321633,0.42297385066567406
r0,LORO,4,overall,3.5101026710894843,2.463247159101746,0.6763789347928595
r1,LORO,0,1,1.636762615909667,1.2264002454449627,0.9294354019171147
r1,LORO,0,2,2.1017643821512015,1.5825665019724469,0.883640347121703
r1,LORO,0,3,3.288393156522888,2.4694401149947054,0.7151363078359928
r1,LORO,0,4,4.658713589719438,3.5140215287885903,0.42842425932422246
r1,LORO,0,5,4.6555259662418305,3.536758170535637,0.4298159054118601
r1,LORO,0,overall,3.501070386729577,2.4658373123472686,0.6772179373646297
r1,LORO,1,1,1.6163800784747044,1.20779901570163,0.9311819350950905
r1,LORO,1,2,2.0728794102251835,1.55873370772996,0.8868166779922747
r1,LORO,1,3,3.265459437889838,2.45982456526891,0.7190958117510861
r1,LORO,1,4,4.662500869793153,3.52245358634066,0.42749456177137946
r1,LORO,1,5,4.66652643743002,3.5274913397201444,0.42711816337218256
r1,LORO,1,overall,3.4953718629062758,2.4552604429522606,0.678267835901047
r1,LORO,2,1,1.613066990034205,1.2269735490680738,0.9314637582536818
r1,LORO,2,2,2.055030887574091,1.557972136320442,0.8887574158920843
r1,LORO,2,3,3.267542825525999,2.4590183073149094,0.7187372594461605
r1,LORO,2,4,4.665110824712156,3.4985362232577404,0.42685343305586443
r1,LORO,2,5,4.654344007497123,3.5155135362209733,0.43010538871896076
r1,LORO,2,overall,3.490792183067874,2.451602750436428,0.6791103585908518
r1,LORO,3,1,1.6224187052491819,1.2235898253937052,0.9306667804337297
r1,LORO,3,2,2.0874462507192693,1.5677753911288614,0.8852203319000993
r1,LORO,3,3,3.2652637740425514,2.45621997796383,0.7191294738734137
