n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,false_alert_rate,lead_time_s,threshold_deg,alarm,k,n,alpha,seed
2545,1497,0.5882121807465619,0.4117878192534381,316,985,35.61566638489715,0.6791878172588832,3.903807615230461,1.0,5.0,5.0,8.8725,0.3208121827411168,3.903807615230461,15,prob,5,5,0.23338422761984323,1
2545,2532,0.9948919449901769,0.0051080550098231425,219,619,24.683009298393912,0.6462035541195477,4.755134281200632,4.0,5.0,5.0,8.8725,0.35379644588045234,4.755134281200632,15,prob,1,7,0.23338422761984323,1
2545,2349,0.9229862475442043,0.07701375245579567,205,721,23.10510002817695,0.7156726768377254,4.542784163473819,2.0,5.0,5.0,8.8725,0.2843273231622746,4.542784163473819,15,prob,3,7,0.23338422761984323,1
2545,1873,0.7359528487229863,0.2640471512770137,243,813,27.387996618765847,0.7011070110701108,4.334223171382808,2.0,5.0,5.0,8.8725,0.29889298892988925,4.334223171382808,15,prob,5,7,0.23338422761984323,1
2545,1097,0.431041257367387,0.568958742632613,193,660,21.752606367990982,0.7075757575757575,3.904284412032817,1.0,5.0,5.0,8.8725,0.2924242424242425,3.904284412032817,15,prob,7,7,0.23338422761984323,1
2545,2532,0.9948919449901769,0.0051080550098231425,158,451,17.807833192448577,0.6496674057649667,4.818325434439179,5.0,5.0,5.0,8.8725,0.35033259423503327,4.818325434439179,15,prob,1,10,0.23338422761984323,1
2545,2394,0.9406679764243615,0.05933202357563849,140,508,15.779092702169624,0.7244094488188977,4.685045948203843,4.0,5.0,5.0,8.8725,0.2755905511811023,4.685045948203843,15,prob,3,10,0.23338422761984323,1
2545,2127,0.8357563850687623,0.16424361493123774,154,568,17.357001972386588,0.7288732394366197,4.6215326751292904,3.0,5.0,5.0,8.8725,0.27112676056338025,4.6215326751292904,15,prob,5,10,0.23338422761984323,1
2545,1743,0.6848722986247544,0.3151277013752456,152,615,17.13158636235559,0.7528455284552845,4.401606425702811,2.0,5.0,5.0,8.8725,0.24715447154471548,4.401606425702811,15,prob,7,10,0.23338422761984323,1
2545,709,0.2785854616895874,0.7214145383104126,120,411,13.524936601859679,0.708029197080292,4.029619181946403,1.0,5.0,5.0,8.8725,0.291970802919708,4.029619181946403,15,prob,10,10,0.23338422761984323,1
2545,2526,0.9925343811394892,0.007465618860510781,956,2161,107.74866159481543,0.5576122165664045,4.332937450514648,2.0,5.0,5.0,8.8725,0.4423877834335955,4.332937450514648,15,prob,1,1,0.24036431750769016,2
2545,2527,0.9929273084479371,0.007072691552062915,448,1175,50.493096646942796,0.6187234042553191,4.564305500593589,3.0,5.0,5.0,8.8725,0.38127659574468087,4.564305500593589,15,prob,1,3,0.24036431750769016,2
2545,2414,0.9485265225933203,0.051473477406679735,461,1309,51.95829811214426,0.6478227654698243,4.252278376139188,2.0,5.0,5.0,8.8725,0.3521772345301757,4.252278376139188,15,prob,2,3,0.24036431750769016,2
2545,2084,0.8188605108055009,0.18113948919449907,418,1310,47.111862496477876,0.6809160305343511,3.9606525911708252,2.0,5.0,5.0,8.8725,0.3190839694656489,3.9606525911708252,15,prob,3,3,0.24036431750769016,2
2545,2528,0.9933202357563851,0.0066797642436149385,265,793,29.86756832910679,0.6658259773013872,4.67998417721519,4.0,5.0,5.0,8.8725,0.33417402269861285,4.67998417721519,15,prob,1,5,0.24036431750769016,2
